"","cluster_id","cluster_color","zy_cluster_label","cluster_label","class_id","class_label","class_color","subclass_id","subclass_label","subclass_color","size","ALM","VISp","gene.counts","class_region_label","region_label","subclass_region_label","specific.markers","within.class.markers","within.class.node.markers","sibling.markers","cl","Notes","X","X.1","sst80_cl"
"19",39,"#FF9F4C","Sst Chrna2 Fam46a","Sst Chrna2 Kit_2",1,"GABAergic","#EF4136",4,"Sst","#F15A29",142,0.56,0.44,8738,"GABAergic","","Sst","Chrna2,Myh8,Myh4,Myh13","Chrna2,Myh13,Ppapdc1a,Myh8","Myh8,Kit,Ppapdc1a,Chrna2","Fam46a,Hs6st2,Me3,Elmo1",42,"Need second opinion",NA,NA,"19"
"20",39,"#FF9F6C","Sst Chrna2 Fam46a","Sst Chrna2 Kit_3",1,"GABAergic","#EF4136",4,"Sst","#F15A29",308,0.56,0.44,8738,"GABAergic","","Sst","Chrna2,Myh8,Myh4,Myh13","Chrna2,Myh13,Ppapdc1a,Myh8","Myh8,Kit,Ppapdc1a,Chrna2","Fam46a,Hs6st2,Me3,Elmo1",42,"Need second opinion",NA,NA,"20"
"21",40,"#FFB307","Sst Myh8 Ptgdr","Sst Myh13 Ptgdr",1,"GABAergic","#EF4136",4,"Sst","#F15A29",173,0.34,0.66,8950,"GABAergic","","Sst","LOC101056159,Myh4,Ptgdr,Myh13","LOC101056159,Efemp1,Ptgdr,Gulp1","Efemp1,Ptgdr","Sema3c,Efemp1",43,"",NA,NA,"21"
"22",41,"#D9C566","Sst Tac2 Myh4","Sst Tac2 Myh4",1,"GABAergic","#EF4136",4,"Sst","#F15A29",85,0.7,0.3,9688,"GABAergic","","Sst","Crygs","Fam212b,Drd2,Bmp2,Tac2",NA,"Htr1a,Eya4",45,"",NA,NA,"22"
"23",47,"#BF8219","Sst Tac2 Slc24a4","Sst Tac2 Tacstd2",1,"GABAergic","#EF4136",4,"Sst","#F15A29",67,0.3,0.7,9640,"GABAergic","","Sst","Tacstd2","Slc24a4,Tac2,Ndnf,Lmo1","Tacstd2","Sema3c,Tmem196",44,"",NA,NA,"23"
"24",46,"#C11331","Sst Crhr2 Nr2f2","Sst Esm1",1,"GABAergic","#EF4136",4,"Sst","#F15A29",129,0.47,0.53,10370,"GABAergic","","Sst","Crygs,Crhr2,Esm1","Esm1,Grm8,Crhr2,Stat4","Grm8,Nmbr,Crhr2,3110035E14Rik","Man1a,Crhr2",46,"",NA,NA,"24"
"25",45,"#B95541","Sst Crhr2 Twist2_2","Sst 4930553C11Rik Crh_1",1,"GABAergic","#EF4136",4,"Sst","#F15A29",59,0.42,0.58,9904,"GABAergic","","Sst","4930553C11Rik,Crygs","4930553C11Rik,Nmbr,Ppfibp2,Rspo2","Grm8,Nmbr,Crhr2,3110035E14Rik","Man1a,Crhr2,4930553C11Rik,Cdh7",48,"",NA,NA,"25"
"26",45,"#B95561","Sst Crhr2 Twist2_2","Sst 4930553C11Rik Crh_2",1,"GABAergic","#EF4136",4,"Sst","#F15A29",61,0.42,0.58,9904,"GABAergic","","Sst","4930553C11Rik,Crygs","4930553C11Rik,Nmbr,Ppfibp2,Rspo2","Grm8,Nmbr,Crhr2,3110035E14Rik","Man1a,Crhr2,4930553C11Rik,Cdh7",48,"",NA,NA,"26"
"27",44,"#B95581","Sst Crhr2 Twist2_1","Sst Crhr2 Efemp1",1,"GABAergic","#EF4136",4,"Sst","#F15A29",100,0.35,0.65,10052,"GABAergic","","Sst","Crygs,Hpse","Twist2,Agtr2,Cckbr,Adra1d","Grm8,Nmbr,Crhr2,3110035E14Rik","Man1a,Crhr2,Cdh7,Zfp536",47,"",NA,NA,"27"
"28",49,"#802600","Sst Rxfp1 Prdm8","Sst Rxfp1 Prdm8",1,"GABAergic","#EF4136",4,"Sst","#F15A29",173,0.13,0.87,9828,"GABAergic","","Sst","Tacstd2,Pard3b,Th","Prdm8,Rxfp1,Pla2g4a,Chrnb3","Rxfp1,Ptgs2,Tacstd2,C1ql3","Rxfp1,Ptprk,Zmat4,Itm2a",49,"",NA,NA,"28"
"29",48,"#994C20","Sst Rxfp1 Eya1","Sst Rxfp1 Eya1",1,"GABAergic","#EF4136",4,"Sst","#F15A29",57,0.23,0.77,9064,"GABAergic","","Sst","Tacstd2","C1ql3,Ptprk,Pter,Npy1r","Rxfp1,Ptgs2,Tacstd2,C1ql3","Rxfp1,Ptprk,Zmat4,Chn2",50,"",NA,NA,"29"
"30",50,"#A81111","Sst Nts","Sst Nts",1,"GABAergic","#EF4136",4,"Sst","#F15A29",46,0.17,0.83,9383,"GABAergic","","Sst","Nts,Th,Tacstd2,Gabrq","Nts,Th,LOC105245834,Diap3",NA,NA,51,"",NA,NA,"30"
